date,temperature,station_id,station_name,latitude,longitude
2023-10-22,30.3,S107,East Coast Parkway,1.3135,103.9625
2023-10-22,32.8,S43,Kim Chuan Road,1.3399,103.8878
2023-10-22,30.8,S44,Nanyang Avenue,1.34583,103.68166
2023-10-22,32.0,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-22,32.4,S111,Scotts Road,1.31055,103.8365
2023-10-22,31.2,S60,Sentosa,1.25,103.8279
2023-10-22,30.2,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-22,31.3,S24,Upper Changi Road North,1.3678,103.9826
2023-10-22,31.0,S116,West Coast Highway,1.281,103.754
2023-10-22,31.4,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-23,31.3,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-23,30.2,S117,Banyan Road,1.256,103.679
2023-10-23,30.7,S50,Clementi Road,1.3337,103.7768
2023-10-23,30.4,S107,East Coast Parkway,1.3135,103.9625
2023-10-23,31.8,S43,Kim Chuan Road,1.3399,103.8878
2023-10-23,29.9,S44,Nanyang Avenue,1.34583,103.68166
2023-10-23,30.9,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-23,30.9,S111,Scotts Road,1.31055,103.8365
2023-10-23,32.0,S60,Sentosa,1.25,103.8279
2023-10-23,30.3,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-23,31.0,S24,Upper Changi Road North,1.3678,103.9826
2023-10-23,30.6,S116,West Coast Highway,1.281,103.754
2023-10-23,30.7,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-24,32.0,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-24,32.9,S117,Banyan Road,1.256,103.679
2023-10-24,32.7,S50,Clementi Road,1.3337,103.7768
2023-10-24,30.9,S107,East Coast Parkway,1.3135,103.9625
2023-10-24,32.9,S43,Kim Chuan Road,1.3399,103.8878
2023-10-24,33.1,S44,Nanyang Avenue,1.34583,103.68166
2023-10-24,32.2,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-24,33.0,S111,Scotts Road,1.31055,103.8365
2023-10-24,31.6,S60,Sentosa,1.25,103.8279
2023-10-24,32.1,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-24,32.8,S24,Upper Changi Road North,1.3678,103.9826
2023-10-24,32.4,S116,West Coast Highway,1.281,103.754
2023-10-24,33.1,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-25,30.5,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-25,30.9,S117,Banyan Road,1.256,103.679
2023-10-25,31.3,S50,Clementi Road,1.3337,103.7768
2023-10-25,30.0,S107,East Coast Parkway,1.3135,103.9625
2023-10-25,32.1,S43,Kim Chuan Road,1.3399,103.8878
2023-10-25,29.0,S44,Nanyang Avenue,1.34583,103.68166
2023-10-25,30.4,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-25,32.0,S111,Scotts Road,1.31055,103.8365
2023-10-25,30.0,S60,Sentosa,1.25,103.8279
2023-10-25,29.6,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-25,31.1,S24,Upper Changi Road North,1.3678,103.9826
2023-10-25,29.4,S116,West Coast Highway,1.281,103.754
2023-10-25,31.3,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-26,32.0,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-26,31.2,S117,Banyan Road,1.256,103.679
2023-10-26,31.6,S50,Clementi Road,1.3337,103.7768
2023-10-26,30.4,S107,East Coast Parkway,1.3135,103.9625
2023-10-26,32.6,S43,Kim Chuan Road,1.3399,103.8878
2023-10-26,31.2,S44,Nanyang Avenue,1.34583,103.68166
2023-10-26,31.9,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-26,32.2,S111,Scotts Road,1.31055,103.8365
2023-10-26,30.8,S60,Sentosa,1.25,103.8279
2023-10-26,30.4,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-26,31.8,S24,Upper Changi Road North,1.3678,103.9826
2023-10-26,30.0,S116,West Coast Highway,1.281,103.754
2023-10-26,31.2,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-27,32.8,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-27,31.7,S117,Banyan Road,1.256,103.679
2023-10-27,32.6,S50,Clementi Road,1.3337,103.7768
2023-10-27,30.4,S107,East Coast Parkway,1.3135,103.9625
2023-10-27,32.3,S43,Kim Chuan Road,1.3399,103.8878
2023-10-27,32.7,S44,Nanyang Avenue,1.34583,103.68166
2023-10-27,33.0,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-27,32.6,S111,Scotts Road,1.31055,103.8365
2023-10-27,32.9,S60,Sentosa,1.25,103.8279
2023-10-27,32.2,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-27,31.5,S24,Upper Changi Road North,1.3678,103.9826
2023-10-27,31.5,S116,West Coast Highway,1.281,103.754
2023-10-27,31.9,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-28,27.5,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-28,29.1,S117,Banyan Road,1.256,103.679
2023-10-28,28.8,S50,Clementi Road,1.3337,103.7768
2023-10-28,27.7,S107,East Coast Parkway,1.3135,103.9625
2023-10-28,27.3,S43,Kim Chuan Road,1.3399,103.8878
2023-10-28,29.8,S44,Nanyang Avenue,1.34583,103.68166
2023-10-28,29.5,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-28,28.1,S111,Scotts Road,1.31055,103.8365
2023-10-28,27.8,S60,Sentosa,1.25,103.8279
2023-10-28,28.9,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-28,26.9,S24,Upper Changi Road North,1.3678,103.9826
2023-10-28,29.3,S116,West Coast Highway,1.281,103.754
2023-10-28,27.3,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-29,31.6,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-29,30.2,S117,Banyan Road,1.256,103.679
2023-10-29,32.0,S50,Clementi Road,1.3337,103.7768
2023-10-29,30.0,S107,East Coast Parkway,1.3135,103.9625
2023-10-29,31.8,S43,Kim Chuan Road,1.3399,103.8878
2023-10-29,31.0,S44,Nanyang Avenue,1.34583,103.68166
2023-10-29,33.2,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-29,30.8,S111,Scotts Road,1.31055,103.8365
2023-10-29,31.5,S60,Sentosa,1.25,103.8279
2023-10-29,30.3,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-29,31.6,S24,Upper Changi Road North,1.3678,103.9826
2023-10-29,30.9,S116,West Coast Highway,1.281,103.754
2023-10-29,32.7,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-30,31.7,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-30,32.3,S50,Clementi Road,1.3337,103.7768
2023-10-30,30.6,S107,East Coast Parkway,1.3135,103.9625
2023-10-30,32.9,S43,Kim Chuan Road,1.3399,103.8878
2023-10-30,31.8,S44,Nanyang Avenue,1.34583,103.68166
2023-10-30,32.1,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-30,32.3,S111,Scotts Road,1.31055,103.8365
2023-10-30,31.0,S60,Sentosa,1.25,103.8279
2023-10-30,31.0,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-30,32.6,S24,Upper Changi Road North,1.3678,103.9826
2023-10-30,30.8,S116,West Coast Highway,1.281,103.754
2023-10-30,31.3,S104,Woodlands Avenue 9,1.44387,103.78538
2023-10-31,31.2,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-10-31,32.0,S117,Banyan Road,1.256,103.679
2023-10-31,32.4,S50,Clementi Road,1.3337,103.7768
2023-10-31,31.5,S107,East Coast Parkway,1.3135,103.9625
2023-10-31,31.4,S43,Kim Chuan Road,1.3399,103.8878
2023-10-31,31.2,S44,Nanyang Avenue,1.34583,103.68166
2023-10-31,31.7,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-10-31,30.9,S111,Scotts Road,1.31055,103.8365
2023-10-31,32.8,S60,Sentosa,1.25,103.8279
2023-10-31,30.0,S115,Tuas South Avenue 3,1.29377,103.61843
2023-10-31,31.0,S24,Upper Changi Road North,1.3678,103.9826
2023-10-31,31.0,S116,West Coast Highway,1.281,103.754
2023-10-31,31.6,S104,Woodlands Avenue 9,1.44387,103.78538
2023-11-01,31.8,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-11-01,31.4,S117,Banyan Road,1.256,103.679
2023-11-01,32.4,S50,Clementi Road,1.3337,103.7768
2023-11-01,29.8,S107,East Coast Parkway,1.3135,103.9625
2023-11-01,31.1,S43,Kim Chuan Road,1.3399,103.8878
2023-11-01,30.3,S44,Nanyang Avenue,1.34583,103.68166
2023-11-01,32.2,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-11-01,31.1,S111,Scotts Road,1.31055,103.8365
2023-11-01,29.5,S60,Sentosa,1.25,103.8279
2023-11-01,29.9,S115,Tuas South Avenue 3,1.29377,103.61843
2023-11-01,31.2,S24,Upper Changi Road North,1.3678,103.9826
2023-11-01,30.2,S116,West Coast Highway,1.281,103.754
2023-11-01,31.8,S104,Woodlands Avenue 9,1.44387,103.78538
2023-11-02,31.6,S109,Ang Mo Kio Avenue 5,1.3764,103.8492
2023-11-02,32.3,S117,Banyan Road,1.256,103.679
2023-11-02,32.3,S50,Clementi Road,1.3337,103.7768
2023-11-02,30.9,S107,East Coast Parkway,1.3135,103.9625
2023-11-02,31.8,S43,Kim Chuan Road,1.3399,103.8878
2023-11-02,31.7,S44,Nanyang Avenue,1.34583,103.68166
2023-11-02,31.5,S121,Old Choa Chu Kang Road,1.37288,103.72244
2023-11-02,34.0,S111,Scotts Road,1.31055,103.8365
2023-11-02,31.2,S60,Sentosa,1.25,103.8279
2023-11-02,31.0,S115,Tuas South Avenue 3,1.29377,103.61843
